zona;nome;cod_municipio;municipio;cod_distrito;distrito;popu
292;Vila Natal;36;São Paulo;30;Grajaú;65633 
293;Grajaú;36;São Paulo;30;Grajaú;86031 
294;Cocaia;36;São Paulo;30;Grajaú;113477 
295;Belmira Marin;36;São Paulo;30;Grajaú;114180 
296;Bororé;36;São Paulo;30;Grajaú;4148 
297;Jaceguava;36;São Paulo;56;Parelheiros;2907 
298;Parelheiros;36;São Paulo;56;Parelheiros;145648 
299;Marsilac;36;São Paulo;52;Marsilac;8363 
300;Granja Julieta;36;São Paulo;72;Santo Amaro;34905 
301;Chácara Flora;36;São Paulo;72;Santo Amaro;12483 
302;Santo Amaro;36;São Paulo;72;Santo Amaro;16387 
303;Vila Miranda;36;São Paulo;72;Santo Amaro;10325 
304;Jardim São Luís;36;São Paulo;45;Jardim São Luís;78638 
305;Centro Empresarial;36;São Paulo;45;Jardim São Luís;127291 
306;Guarapiranga;36;São Paulo;45;Jardim São Luís;82209 
307;Jardim Capela;36;São Paulo;42;Jardim Ângela;104416 
308;Riviera;36;São Paulo;42;Jardim Ângela;41879 
309;Jardim Turquesa;36;São Paulo;42;Jardim Ângela;65732 
310;Morro do Índio;36;São Paulo;42;Jardim Ângela;28295 
311;Jardim Ângela;36;São Paulo;42;Jardim Ângela;88536 
312;Capão Redondo;36;São Paulo;19;Capão Redondo;38307 
313;Jardim Sônia Ingá;36;São Paulo;19;Capão Redondo;24266 
314;Adventista;36;São Paulo;19;Capão Redondo;105255 
315;Parque Fernanda;36;São Paulo;19;Capão Redondo;122442 
316;Morumbi;36;São Paulo;55;Morumbi;15560 
317;Jóquei Clube;36;São Paulo;55;Morumbi;4306 
318;Fazenda Morumbi;36;São Paulo;55;Morumbi;22908 
319;Real Parque;36;São Paulo;55;Morumbi;9015 
320;Paraisópolis;36;São Paulo;85;Vila Andrade;73861 
321;Jardim Vitória Régia;36;São Paulo;85;Vila Andrade;42795 
322;Vila Suzana;36;São Paulo;85;Vila Andrade;39440 
323;Parque Arariba;36;São Paulo;17;Campo Limpo;62710 
324;Jardim Mitsutani;36;São Paulo;17;Campo Limpo;71351 
325;Pirajussara;36;São Paulo;17;Campo Limpo;40057 
326;Jardim Umarizal;36;São Paulo;17;Campo Limpo;51055 
327;Portal do Morumbi;36;São Paulo;96;Vila Sônia;19723 
328;Jardim Jussara;36;São Paulo;96;Vila Sônia;22657 
329;Vila Sônia;36;São Paulo;96;Vila Sônia;34406 
330;Jardim Maria do Carmo;36;São Paulo;96;Vila Sônia;42282 
331;Jardim Cambará;36;São Paulo;66;Raposo Tavares;42177 
332;Jardim João XXIII;36;São Paulo;66;Raposo Tavares;43732 
333;Raposo Tavares;36;São Paulo;66;Raposo Tavares;19965 
334;Rio Pequeno;36;São Paulo;68;Rio Pequeno;36683 
335;Jardim Ester Yolanda;36;São Paulo;68;Rio Pequeno;40378 
336;Jardim Adalgiza;36;São Paulo;68;Rio Pequeno;45585 
337;Parque Continental;36;São Paulo;40;Jaguaré;22537 
338;Jaguaré;36;São Paulo;40;Jaguaré;31544 
339;Cidade Universitária;36;São Paulo;12;Butantã; 
340;Butantã;36;São Paulo;12;Butantã;7738 
341;Jardim Caxingui;36;São Paulo;12;Butantã;10541 
342;Jardim Bonfiglioli;36;São Paulo;12;Butantã;35707 
343;Melhoramentos;4;Caieiras;100;Caieiras;3577 
344;Caieiras;4;Caieiras;100;Caieiras;52690 
345;Serpa;4;Caieiras;100;Caieiras;41146 
346;Santa Inês;4;Caieiras;100;Caieiras; 
347;Cajamar;5;Cajamar;101;Cajamar;69567 
348;Jordanésia;5;Cajamar;101;Cajamar;5011 
349;Cristais;13;Franco da Rocha;109;Franco da Rocha; 
350;Baltazar Fidélis;13;Franco da Rocha;109;Franco da Rocha;71944 
351;Franco da Rocha;13;Franco da Rocha;109;Franco da Rocha;75681 
352;Parque do Juqueri;13;Franco da Rocha;109;Franco da Rocha; 
353;Palmares;13;Franco da Rocha;109;Franco da Rocha; 
354;Sete Voltas;12;Francisco Morato;108;Francisco Morato; 
355;Afonso Moreno;12;Francisco Morato;108;Francisco Morato;58624 
356;Francisco Morato;12;Francisco Morato;108;Francisco Morato;105824 
357;Cascatas;12;Francisco Morato;108;Francisco Morato;5222 
358;Mairiporã;21;Mairiporã;117;Mairiporã;43904 
359;Paiva Castro;21;Mairiporã;117;Mairiporã;17805 
360;Colinas;21;Mairiporã;117;Mairiporã;18078 
361;Pirucaia;21;Mairiporã;117;Mairiporã;14906 
362;Guarulhos;15;Guarulhos;111;Guarulhos;13285 
363;Macedo;15;Guarulhos;111;Guarulhos;41525 
364;Cumbica;15;Guarulhos;111;Guarulhos;13419 
365;Várzea do Palácio;15;Guarulhos;111;Guarulhos;4709 
366;Ponte Grande;15;Guarulhos;111;Guarulhos;31525 
367;Gopouva;15;Guarulhos;111;Guarulhos;27784 
368;Vila São Rafael;15;Guarulhos;111;Guarulhos;52057 
369;Vila Rosália;15;Guarulhos;111;Guarulhos;55983 
370;André Luiz;15;Guarulhos;111;Guarulhos;85786 
371;Jardim Santa Clara;15;Guarulhos;111;Guarulhos;75496 
372;Parque CECAP;15;Guarulhos;111;Guarulhos;66738 
